FeatureID,FeatureName,brain_maybe Average,brain_maybe Log2 Fold Change,brain_maybe P-Value,alcohol_preference Average,alcohol_preference Log2 Fold Change,alcohol_preference P-Value
ENSMUSG00000030310,Slc6a1,0.06314945677015264,-4.045580823713197,8.760717952807422e-49,1.0435505857787983,4.045580823713197,8.76071795280543e-49
ENSMUSG00000040125,Gpr26,0.01526297824409343,-3.7773279404771984,3.296775692286929e-32,0.2092162855886354,3.7773279404771984,3.296775692286929e-32
ENSMUSG00000021198,Unc79,0.030436699305472863,-3.5171359637911648,2.751153991467688e-31,0.3484126046294614,3.5171359637911648,2.751153991467688e-31
ENSMUSG00000034171,Faah,0.011380290796034575,-3.3479152313600995,1.0051548386667864e-20,0.1155751255066252,3.3479152313600995,1.0051548386667864e-20
ENSMUSG00000018634,Crhr1,0.0065157743381217565,-3.5154518607119636,9.501878520836763e-19,0.07423803682177385,3.5154518607119636,9.501878520836763e-19
ENSMUSG00000015766,Eps8,0.031373899723969825,-2.739961088012714,7.312307953348713e-15,0.2092162855886354,2.739961088012714,7.312307953348713e-15
ENSMUSG00000029212,Gabrb1,0.003347144351774875,-3.5150252171953573,2.8931214166488e-13,0.03796263246567981,3.5150252171953573,2.8931214166488e-13
ENSMUSG00000035385,Ccl2,0.004105830404843846,-3.3726573054453945,2.583167944068786e-08,0.042180702739644235,3.3726573054453945,2.583167944068786e-08
ENSMUSG00000059325,Hopx,0.022671324409355154,-2.6315732209802873,3.190666982762684e-08,0.14003993309561885,2.6315732209802873,3.190666982762684e-08
ENSMUSG00000023942,Slc29a1,0.04369139093850137,-2.135642849744101,4.8387801786320665e-08,0.1915003904379848,2.135642849744101,4.8387801786320665e-08
ENSMUSG00000001496,Nkx2-1,0.011558805161462569,-2.8019854622746316,1.6547980574667014e-07,0.08014333520532405,2.8019854622746316,1.6547980574667014e-07
ENSMUSG00000026787,Gad2,0.05440225286418097,-1.8754685910299402,2.5022111372539245e-05,0.19909291693112077,1.8754685910299402,2.5022111372539245e-05
ENSMUSG00000078816,Prkcg,0.004462859135699833,-2.710462308775101,2.5022111372539245e-05,0.02868287786295808,2.710462308775101,2.5022111372539245e-05
ENSMUSG00000029304,Spp1,0.011603433752819567,-2.5152655261891486,5.326460222443678e-05,0.065801896273845,2.5152655261891486,5.326460222443678e-05
ENSMUSG00000070880,Gad1,0.02276058159206915,-1.9426510117854012,7.817587101275715e-05,0.08689224764366713,1.9426510117854012,7.817587101275715e-05
